index  confidence   rules
 100   0.773        ['tropical fruit', 'bottled water', 'domestic eggs']=>['whole milk']
 101   0.773        ['hard cheese', 'yogurt', 'root vegetables']=>['whole milk']
 102   0.773        ['butter', 'other vegetables', 'bottled beer']=>['whole milk']
 103   0.773        ['root vegetables', 'butter', 'sausage']=>['whole milk']
 104   0.773        ['tropical fruit', 'curd', 'domestic eggs']=>['whole milk']
 105   0.773        ['beef', 'butter', 'rolls/buns']=>['whole milk']
 106   0.773        ['tropical fruit', 'margarine', 'domestic eggs']=>['whole milk']
 107   0.771        ['tropical fruit', 'root vegetables', 'sausage']=>['whole milk']
 108   0.771        ['tropical fruit', 'root vegetables', 'domestic eggs']=>['whole milk']
 109   0.769        ['bottled beer', 'other vegetables', 'domestic eggs']=>['whole milk']
 110   0.769        ['citrus fruit', 'root vegetables', 'frozen vegetables']=>['other vegetables']
 111   0.767        ['tropical fruit', 'whipped/sour cream', 'butter']=>['other vegetables']
 112   0.767        ['whipped/sour cream', 'root vegetables', 'pip fruit']=>['whole milk']
 113   0.767        ['tropical fruit', 'root vegetables', 'frozen vegetables']=>['whole milk']
 114   0.767        ['tropical fruit', 'other vegetables', 'yogurt', 'butter']=>['whole milk']
 115   0.765        ['whipped/sour cream', 'root vegetables', 'butter']=>['whole milk']
 116   0.763        ['whipped/sour cream', 'butter milk']=>['whole milk']
 117   0.762        ['chicken', 'whipped/sour cream', 'rolls/buns']=>['whole milk']
 118   0.762        ['citrus fruit', 'root vegetables', 'oil']=>['other vegetables']
 119   0.762        ['cream cheese', 'yogurt', 'butter']=>['whole milk']
 120   0.762        ['whipped/sour cream', 'white bread', 'yogurt']=>['other vegetables']
 121   0.762        ['tropical fruit', 'whipped/sour cream', 'sausage']=>['whole milk']
 122   0.762        ['citrus fruit', 'tropical fruit', 'whipped/sour cream', 'other vegetables']=>['whole milk']
 123   0.762        ['other vegetables', 'yogurt', 'root vegetables', 'butter']=>['whole milk']
 124   0.762        ['tropical fruit', 'whole milk', 'whipped/sour cream', 'butter']=>['other vegetables']
 125   0.762        ['whipped/sour cream', 'other vegetables', 'root vegetables', 'butter']=>['whole milk']
 126   0.762        ['tropical fruit', 'yogurt', 'other vegetables', 'domestic eggs']=>['whole milk']
 127   0.760        ['turkey', 'root vegetables']=>['other vegetables']
 128   0.760        ['root vegetables', 'sausage', 'pip fruit']=>['whole milk']
 129   0.760        ['cream cheese', 'yogurt', 'pip fruit']=>['whole milk']
 130   0.760        ['yogurt', 'root vegetables', 'frozen vegetables']=>['other vegetables']
 131   0.760        ['tropical fruit', 'whole milk', 'beef', 'root vegetables']=>['other vegetables']
 132   0.759        ['yogurt', 'butter', 'domestic eggs']=>['whole milk']
 133   0.758        ['beef', 'other vegetables', 'domestic eggs']=>['whole milk']
 134   0.750        ['ham', 'curd']=>['whole milk']
 135   0.750        ['butter', 'onions']=>['whole milk']
 136   0.750        ['curd', 'herbs']=>['whole milk']
 137   0.750        ['mustard', 'bottled water']=>['whole milk']
 138   0.750        ['long life bakery product', 'rolls/buns', 'yogurt']=>['whole milk']
 139   0.750        ['cream cheese', 'whole milk', 'sugar']=>['other vegetables']
 140   0.750        ['yogurt', 'hygiene articles', 'other vegetables']=>['whole milk']
 141   0.750        ['chicken', 'root vegetables', 'domestic eggs']=>['whole milk']
 142   0.750        ['citrus fruit', 'root vegetables', 'domestic eggs']=>['other vegetables']
 143   0.750        ['waffles', 'root vegetables', 'yogurt']=>['whole milk']
 144   0.750        ['tropical fruit', 'root vegetables', 'oil']=>['whole milk']
 145   0.750        ['curd', 'root vegetables', 'butter']=>['whole milk']
 146   0.750        ['root vegetables', 'pork', 'fruit/vegetable juice']=>['other vegetables']
 147   0.750        ['pork', 'other vegetables', 'hamburger meat']=>['whole milk']
 148   0.750        ['root vegetables', 'butter', 'domestic eggs']=>['whole milk']
 149   0.750        ['tropical fruit', 'white bread', 'root vegetables']=>['whole milk']
 150   0.750        ['tropical fruit', 'curd', 'yogurt']=>['whole milk']
 151   0.750        ['soft cheese', 'root vegetables', 'other vegetables']=>['whole milk']
 152   0.750        ['butter', 'napkins', 'other vegetables']=>['whole milk']
 153   0.750        ['napkins', 'root vegetables', 'butter']=>['whole milk']
 154   0.750        ['whole milk', 'root vegetables', 'processed cheese']=>['other vegetables']
 155   0.750        ['tropical fruit', 'root vegetables', 'sliced cheese']=>['other vegetables']
 156   0.750        ['root vegetables', 'butter', 'onions']=>['other vegetables']
 157   0.750        ['whipped/sour cream', 'butter', 'pip fruit']=>['other vegetables']
 158   0.750        ['rice', 'whole milk', 'root vegetables']=>['other vegetables']
 159   0.750        ['tropical fruit', 'yogurt', 'root vegetables', 'pip fruit']=>['whole milk']
 160   0.750        ['citrus fruit', 'whole milk', 'root vegetables', 'whipped/sour cream']=>['other vegetables']
 161   0.742        ['whole milk', 'pork', 'pip fruit']=>['other vegetables']
 162   0.742        ['citrus fruit', 'tropical fruit', 'whipped/sour cream']=>['whole milk']
 163   0.742        ['citrus fruit', 'whole milk', 'yogurt', 'root vegetables']=>['other vegetables']
 164   0.741        ['soft cheese', 'butter']=>['whole milk']
 165   0.741        ['cream cheese', 'sugar']=>['whole milk']
 166   0.741        ['curd', 'domestic eggs', 'yogurt']=>['whole milk']
 167   0.741        ['frankfurter', 'tropical fruit', 'root vegetables']=>['whole milk']
 168   0.739        ['cat food', 'curd']=>['whole milk']
 169   0.739        ['tropical fruit', 'butter', 'domestic eggs']=>['other vegetables']
 170   0.739        ['other vegetables', 'hamburger meat', 'domestic eggs']=>['whole milk']
 171   0.739        ['whipped/sour cream', 'other vegetables', 'butter milk']=>['whole milk']
 172   0.739        ['tropical fruit', 'frozen meals', 'other vegetables']=>['whole milk']
 173   0.739        ['whole milk', 'yogurt', 'grapes']=>['other vegetables']
 174   0.739        ['yogurt', 'butter', 'pip fruit']=>['whole milk']
 175   0.739        ['yogurt', 'rolls/buns', 'bottled beer']=>['whole milk']
 176   0.739        ['butter', 'whole milk', 'white bread']=>['other vegetables']
 177   0.739        ['butter', 'white bread', 'other vegetables']=>['whole milk']
 178   0.739        ['baking powder', 'yogurt', 'other vegetables']=>['whole milk']
 179   0.739        ['citrus fruit', 'whipped/sour cream', 'butter']=>['whole milk']
 180   0.739        ['citrus fruit', 'yogurt', 'whipped/sour cream', 'other vegetables']=>['whole milk']
 181   0.739        ['tropical fruit', 'yogurt', 'root vegetables', 'whipped/sour cream']=>['other vegetables']
 182   0.739        ['whipped/sour cream', 'whole milk', 'root vegetables', 'pip fruit']=>['other vegetables']
 183   0.735        ['yogurt', 'root vegetables', 'fruit/vegetable juice']=>['whole milk']
 184   0.735        ['curd', 'rolls/buns', 'yogurt']=>['whole milk']
 185   0.734        ['curd', 'domestic eggs']=>['whole milk']
 186   0.733        ['whipped/sour cream', 'soft cheese']=>['other vegetables']
 187   0.733        ['butter', 'curd', 'other vegetables']=>['whole milk']
 188   0.733        ['tropical fruit', 'yogurt', 'butter']=>['whole milk']
 189   0.733        ['tropical fruit', 'root vegetables', 'whipped/sour cream']=>['other vegetables']
 190   0.731        ['tropical fruit', 'ham', 'other vegetables']=>['whole milk']
 191   0.731        ['root vegetables', 'fruit/vegetable juice', 'pip fruit']=>['whole milk']
 192   0.730        ['tropical fruit', 'whipped/sour cream', 'pip fruit']=>['other vegetables']
 193   0.730        ['tropical fruit', 'beef', 'root vegetables']=>['other vegetables']
 194   0.727        ['oil', 'sugar']=>['whole milk']
 195   0.727        ['soft cheese', 'frozen vegetables']=>['other vegetables']
 196   0.727        ['pork', 'grapes']=>['other vegetables']
 197   0.727        ['soft cheese', 'root vegetables']=>['other vegetables']
 198   0.727        ['frankfurter', 'berries']=>['whole milk']
 199   0.727        ['margarine', 'yogurt', 'domestic eggs']=>['whole milk']
 200   0.727        ['root vegetables', 'bottled water', 'pip fruit']=>['whole milk']
 201   0.727        ['chicken', 'other vegetables', 'domestic eggs']=>['whole milk']
 202   0.727        ['butter', 'root vegetables', 'bottled water']=>['whole milk']
 203   0.727        ['pork', 'other vegetables', 'sugar']=>['whole milk']
 204   0.727        ['citrus fruit', 'bottled water', 'bottled beer']=>['whole milk']
 205   0.727        ['root vegetables', 'bottled water', 'domestic eggs']=>['other vegetables']
 206   0.727        ['tropical fruit', 'hygiene articles', 'pip fruit']=>['whole milk']
 207   0.727        ['other vegetables', 'yogurt', 'root vegetables', 'pastry']=>['whole milk']
 208   0.727        ['tropical fruit', 'root vegetables', 'other vegetables', 'pip fruit']=>['whole milk']
 209   0.724        ['citrus fruit', 'herbs']=>['other vegetables']
 210   0.724        ['shopping bags', 'root vegetables', 'yogurt']=>['other vegetables']
 211   0.724        ['frankfurter', 'tropical fruit', 'yogurt']=>['whole milk']
 212   0.722        ['long life bakery product', 'other vegetables', 'yogurt']=>['whole milk']
 213   0.722        ['yogurt', 'other vegetables', 'bottled beer']=>['whole milk']
 214   0.722        ['butter', 'other vegetables', 'bottled water']=>['whole milk']
 215   0.720        ['curd', 'onions']=>['whole milk']
 216   0.720        ['chicken', 'sugar']=>['whole milk']
 217   0.720        ['root vegetables', 'fruit/vegetable juice', 'domestic eggs']=>['whole milk']
 218   0.720        ['frozen meals', 'root vegetables', 'other vegetables']=>['whole milk']
 219   0.720        ['tropical fruit', 'yogurt', 'hygiene articles']=>['whole milk']
 220   0.719        ['frankfurter', 'yogurt', 'root vegetables']=>['whole milk']
 221   0.719        ['curd', 'pastry', 'yogurt']=>['whole milk']
 222   0.716        ['curd', 'butter']=>['whole milk']
 223   0.714        ['herbs', 'domestic eggs']=>['whole milk']
 224   0.714        ['hard cheese', 'margarine']=>['whole milk']
 225   0.714        ['sugar', 'domestic eggs']=>['whole milk']
 226   0.714        ['ham', 'frozen vegetables']=>['other vegetables']
 227   0.714        ['yogurt', 'specialty cheese']=>['whole milk']
 228   0.714        ['roll products', 'rolls/buns']=>['whole milk']
 229   0.714        ['long life bakery product', 'butter milk']=>['whole milk']
 230   0.714        ['dessert', 'butter milk']=>['whole milk']
 231   0.714        ['baking powder', 'root vegetables']=>['other vegetables']
 232   0.714        ['tropical fruit', 'white bread', 'yogurt']=>['whole milk']
 233   0.714        ['tropical fruit', 'whole milk', 'soft cheese']=>['yogurt']
 234   0.714        ['tropical fruit', 'margarine', 'whipped/sour cream']=>['yogurt']
 235   0.714        ['whipped/sour cream', 'cream cheese', 'root vegetables']=>['yogurt']
 236   0.714        ['other vegetables', 'onions', 'pip fruit']=>['whole milk']
 237   0.714        ['citrus fruit', 'whipped/sour cream', 'rolls/buns']=>['whole milk']
 238   0.714        ['tropical fruit', 'hygiene articles', 'bottled water']=>['whole milk']
 239   0.714        ['yogurt', 'dessert', 'pip fruit']=>['other vegetables']
 240   0.714        ['whipped/sour cream', 'ham', 'other vegetables']=>['whole milk']
 241   0.714        ['whipped/sour cream', 'coffee', 'other vegetables']=>['whole milk']
 242   0.714        ['whipped/sour cream', 'yogurt', 'dessert']=>['whole milk']
 243   0.714        ['ham', 'yogurt', 'rolls/buns']=>['whole milk']
 244   0.714        ['whipped/sour cream', 'sliced cheese', 'other vegetables']=>['whole milk']
 245   0.714        ['whipped/sour cream', 'frozen vegetables', 'fruit/vegetable juice']=>['other vegetables']
 246   0.714        ['whole milk', 'pork', 'hamburger meat']=>['other vegetables']
 247   0.714        ['tropical fruit', 'curd', 'sausage']=>['other vegetables']
 248   0.714        ['other vegetables', 'frozen vegetables', 'bottled water']=>['whole milk']
 249   0.714        ['tropical fruit', 'yogurt', 'onions']=>['whole milk']
 250   0.714        ['whipped/sour cream', 'curd', 'butter']=>['whole milk']
 251   0.714        ['tropical fruit', 'curd', 'whipped/sour cream']=>['whole milk']
 252   0.714        ['margarine', 'root vegetables', 'rolls/buns']=>['whole milk']
 253   0.714        ['tropical fruit', 'yogurt', 'chicken']=>['other vegetables']
 254   0.714        ['tropical fruit', 'frozen meals', 'pip fruit']=>['whole milk']
 255   0.714        ['chicken', 'root vegetables', 'butter']=>['whole milk']
 256   0.714        ['rolls/buns', 'root vegetables', 'pork']=>['whole milk']
 257   0.714        ['whipped/sour cream', 'root vegetables', 'sausage']=>['yogurt']
 258   0.714        ['margarine', 'bottled water', 'domestic eggs']=>['whole milk']
 259   0.714        ['tropical fruit', 'yogurt', 'onions']=>['other vegetables']
 260   0.714        ['root vegetables', 'processed cheese', 'other vegetables']=>['whole milk']
 261   0.714        ['whipped/sour cream', 'yogurt', 'sugar']=>['whole milk']
 262   0.714        ['citrus fruit', 'curd', 'root vegetables']=>['other vegetables']
 263   0.714        ['hard cheese', 'yogurt', 'other vegetables']=>['whole milk']
 264   0.714        ['tropical fruit', 'yogurt', 'root vegetables', 'other vegetables']=>['whole milk']
 265   0.714        ['whipped/sour cream', 'other vegetables', 'yogurt', 'butter']=>['whole milk']
 266   0.714        ['citrus fruit', 'tropical fruit', 'root vegetables', 'yogurt']=>['whole milk']
 267   0.714        ['tropical fruit', 'yogurt', 'pastry', 'rolls/buns']=>['whole milk']
 268   0.714        ['tropical fruit', 'whole milk', 'beef', 'rolls/buns']=>['other vegetables']
 269   0.714        ['tropical fruit', 'whole milk', 'whipped/sour cream', 'rolls/buns']=>['yogurt']
 270   0.714        ['tropical fruit', 'yogurt', 'whipped/sour cream', 'rolls/buns']=>['whole milk']
 271   0.711        ['baking powder', 'yogurt']=>['whole milk']
 272   0.711        ['whipped/sour cream', 'sliced cheese']=>['whole milk']
 273   0.710        ['rice', 'root vegetables']=>['other vegetables']
 274   0.710        ['oil', 'whole milk', 'yogurt']=>['other vegetables']
 275   0.708        ['white bread', 'onions']=>['other vegetables']
 276   0.708        ['herbs', 'pip fruit']=>['other vegetables']
 277   0.708        ['cat food', 'butter']=>['whole milk']
 278   0.708        ['cream cheese', 'curd', 'yogurt']=>['whole milk']
 279   0.708        ['whipped/sour cream', 'other vegetables', 'hamburger meat']=>['whole milk']
 280   0.708        ['tropical fruit', 'brown bread', 'pip fruit']=>['whole milk']
 281   0.708        ['whipped/sour cream', 'curd', 'rolls/buns']=>['whole milk']
 282   0.708        ['cream cheese', 'other vegetables', 'pip fruit']=>['whole milk']
 283   0.708        ['tropical fruit', 'long life bakery product', 'yogurt']=>['whole milk']
 284   0.708        ['tropical fruit', 'ham', 'yogurt']=>['other vegetables']
 285   0.708        ['cream cheese', 'curd', 'yogurt']=>['other vegetables']
 286   0.708        ['tropical fruit', 'whole milk', 'root vegetables', 'butter']=>['yogurt']
 287   0.706        ['yogurt', 'root vegetables', 'fruit/vegetable juice']=>['other vegetables']
 288   0.705        ['tropical fruit', 'yogurt', 'whipped/sour cream']=>['whole milk']
 289   0.705        ['citrus fruit', 'tropical fruit', 'root vegetables', 'other vegetables']=>['whole milk']
 290   0.704        ['pork', 'butter']=>['whole milk']
 291   0.704        ['tropical fruit', 'whole milk', 'coffee']=>['yogurt']
 292   0.704        ['tropical fruit', 'whole milk', 'ham']=>['other vegetables']
 293   0.704        ['tropical fruit', 'whole milk', 'root vegetables', 'whipped/sour cream']=>['other vegetables']
 294   0.704        ['tropical fruit', 'beef', 'root vegetables', 'other vegetables']=>['whole milk']
 295   0.702        ['coffee', 'butter']=>['whole milk']
 296   0.700        ['tropical fruit', 'yogurt', 'root vegetables']=>['whole milk']
 297   0.700        ['citrus fruit', 'root vegetables', 'soda']=>['other vegetables']
 298   0.700        ['citrus fruit', 'curd', 'yogurt']=>['whole milk']
 299   0.700        ['whipped/sour cream', 'other vegetables', 'domestic eggs']=>['whole milk']
 300   0.700        ['tropical fruit', 'whipped/sour cream', 'butter']=>['whole milk']
